;Volumenes;Capitulos;Status;Año;Generos;Temas;Demografia;Editorial;Autor;Lectores
213; 28; 233; Finished; May  21, 2003 to Oct  7, 2009;['Action', 'Adventure', 'Drama', 'Fantasy'];;['Shounen'];"
Shounen Magazine (Weekly)";"
CLAMP (Story & Art)"; 83,158
214; 10; 54; Finished; Jul  2, 1994 to Oct  3, 1998;['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life'];['Love Polygon', 'School', 'Showbiz'];['Shoujo'];"
Ribon Magazine";"
Obana, Miho (Story & Art)"; 24,222
215; 5; 48; Finished; Mar  23, 1999 to Mar  22, 2003;['Drama', 'Romance'];['School', 'Visual Arts'];['Josei'];"
Zipper";"
Yazawa, Ai (Story & Art)"; 57,537
216; 10; 66; Finished; Jan  25, 1997 to Jul  25, 2003;['Action', 'Drama', 'Horror', 'Sci-Fi'];['Psychological'];['Seinen'];"
Afternoon";"
Nihei, Tsutomu (Story & Art)"; 168,684
217; Unknown; Unknown; Publishing; Apr  19, 2002 to ?;['Action', 'Drama'];['Adult Cast', 'Military', 'Organized Crime'];['Seinen'];"
Sunday Gene-X";"
Hiroe, Rei (Story & Art)"; 58,954
218; 1; 6; Finished; Jul  25, 2006 to Jul  27, 2007;['Boys Love', 'Slice of Life'];['School'];;"
Opera";"
Nakamura, Asumiko (Story & Art)"; 42,235
219; 17; 111; Finished; Apr  15, 2008 to Jul  18, 2015;['Romance'];['Childcare'];['Shoujo'];"
Hana to Yume";"
Kouchi, Kaede (Story & Art)"; 61,411
220; 6; 29; Finished; Oct  1, 2009 to Feb  2, 2012;['Drama', 'Horror', 'Mystery'];['Mythology', 'Psychological'];;"
Gangan Online";"
Ryukishi07 (Story), Souichirou (Art)"; 16,529
221; Unknown; Unknown; Publishing; Nov  19, 2021 to ?;['Drama'];['Villainess'];;"
Comic Lake";"
Shiraume, Nazuna (Art), Makiburo (Story)"; 9,336
222; Unknown; Unknown; Publishing; Jun  28, 2012 to ?;['Boys Love', 'Drama', 'Slice of Life'];;;"
Opera";"
Ishie, Hachi (Story & Art)"; 12,000
223; Unknown; Unknown; Publishing; Jul  25, 2014 to ?;['Boys Love', 'Slice of Life'];;;"
onBLUE";"
Kii, Kanna (Story & Art)"; 23,694
224; 7; 97; Finished; Feb  4, 2011 to Nov  5, 2018;['Comedy', 'Slice of Life'];['Childcare'];;"
Manga Club";"
Koike, Sadaji (Story & Art)"; 9,117
225; Unknown; Unknown; Publishing; Nov  9, 2016 to ?;['Adventure', 'Award Winning', 'Drama', 'Supernatural'];;['Shounen'];"
Shounen Magazine (Weekly)";"
Ooima, Yoshitoki (Story & Art)"; 109,302
226; Unknown; Unknown; Publishing; Oct  26, 2016 to ?;['Drama'];['School'];['Seinen'];"
Grand Jump Premium";"
Amase, Shiori (Story & Art)"; 30,363
227; 10; 31; Finished; Mar  25, 2010 to Jun  7, 2016;['Award Winning', 'Drama'];['Adult Cast', 'Love Polygon', 'Performing Arts'];['Josei'];"
ITAN";"
Kumota, Haruko (Story & Art)"; 10,620
228; 7; 38; Finished; Mar  13, 2012 to Apr  8, 2022;['Drama', 'Romance', 'Sci-Fi'];['Love Polygon', 'School', 'Time Travel'];['Shoujo'];"
Monthly Action";"
Takano, Ichigo (Story & Art)"; 165,332
229; Unknown; Unknown; Publishing; May  31, 2004 to ?;['Action', 'Adventure', 'Fantasy'];['Urban Fantasy'];['Shounen'];"
Jump SQ.Rise";"
Hoshino, Katsura (Story & Art)"; 165,774
230; 28; 96; Finished; Jan  5, 1995 to Jun  5, 2002;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance', 'Supernatural'];['Historical', 'Time Travel'];['Shoujo'];"
Sho-Comi";"
Shinohara, Chie (Story & Art)"; 25,956
231; 10; 92; Finished; Apr  30, 1997 to Sep  30, 2008;['Action', 'Horror', 'Supernatural'];['Adult Cast', 'Gore', 'Historical', 'Vampire'];['Seinen'];"
Young King OURs";"
Hirano, Kouta (Story & Art)"; 102,295
232; 27; 159; Finished; Jun  6, 2001 to Oct  4, 2014;['Action', 'Adventure', 'Fantasy', 'Horror'];['Gore'];['Shounen'];"
Jump SQ.";"
Yagi, Norihiro (Story & Art)"; 214,374
233; 19; 111; Finished; Dec  25, 1996 to Apr  25, 2002;['Action', 'Comedy', 'Drama', 'Romance'];['Crossdressing', 'Organized Crime'];['Shoujo'];"
Hana to Yume";"
Nakamura, Yoshiki (Story & Art)"; 19,501
234; 15; 89; Finished; May  7, 1992 to Feb  5, 2000;['Action', 'Comedy', 'Romance'];['Delinquents', 'Martial Arts', 'School'];['Shounen'];"
Shounen Jump (Monthly)";"
Yagi, Norihiro (Story & Art)"; 60,429
235; Unknown; Unknown; Publishing; Jan  5, 1994 to ?;['Adventure', 'Award Winning', 'Comedy', 'Mystery'];['Detective'];['Shounen'];"
Shounen Sunday";"
Aoyama, Gosho (Story & Art)"; 63,007
236; 14; 66; Finished; Sep  1972 to Nov  1983;['Drama', 'Supernatural'];['Historical'];;"
Comic Tom (Monthly)";"
Tezuka, Osamu (Story & Art)"; 17,710
237; 4; 21; Finished; Jun  26, 2006 to Feb  26, 2008;['Drama', 'Horror', 'Mystery'];['Psychological'];['Shounen'];"
Gangan Wing";"
Houjou, Yutori (Art), Ryukishi07 (Story)"; 17,284
238; 26; 82; Finished; Mar  24, 1997 to May  20, 2005;['Boys Love', 'Comedy', 'Drama'];;['Shoujo'];"
Ichiraci";"
Abe, Miyuki (Story & Art)"; 8,614
